Time,PR_Val,Temp_Val,Sys_Val,Resp_Val,SPO2
351,101,,,,99
352,100,,,,99
353,106,,,,99
354,99,,,,99
355,101,,,,99
356,105,,,,100
357,98,,,,99
358,101,,,,99
359,98,,,,99
360,96,,,,99
361,100,,,,99
362,98,,,,100
363,106,,,,98
364,101,,,,98
365,101,,,,98
366,99,,,,98
367,98,,,,98
368,100,,,,99
369,97,,,,99
370,96,,,,98
371,99,,,,99
372,99,,,,98
373,107,,,,99
374,103,,,,98
375,101,,,,98
376,99,,,,98
377,95,,,,99
378,103,,,,100
379,91,,,,99
380,96,,,,100
381,93,,,,99
382,102,,,,98
383,101,,,,99
384,92,,,,100
385,101,,,,100
386,99,,,,100
387,92,,,,99
388,100,,,,99
389,94,,,,98
390,99,,,,99
391,99,,,,100
392,102,,,,98
393,102,,,,99
394,101,,,,97
395,101,,,,97
396,99,,,,99
397,102,,,,98
398,110,,,,98
399,103,,,,99
400,93,,,,99
401,95,,,,100
402,99,,,,100
403,104,,,,100
404,98,,,,98
405,98,,,,98
406,101,,,,98
407,101,,,,98
408,100,,,,99
409,101,,,,99
410,104,,,,98
411,102,,,,97
412,99,,,,96
413,104,,,,98
414,94,,,,99
415,100,,,,97
416,100,,,,99
417,101,,,,99
418,102,,,,99
419,97,,,,99
420,97,,,,99
421,99,,,,98
422,101,,,,99
423,96,,,,98
424,91,,,,99
425,94,,,,100
426,100,,,,99
427,99,,,,98
428,93,,,,99
429,91,,,,99
430,101,,,,100
431,99,,,,99
432,95,,,,99
433,100,,,,98
434,98,,,,99
435,103,,,,94
436,93,,,,93
437,103,,,,92
438,97,,,,97
439,99,,,,87
440,100,,,27,83
441,92,,,37,97
442,94,,,37,98
443,101,,,28,98
444,95,,,27,94
445,95,,,29,96
446,90,,,21,97
447,89,,,10,98
448,101,,,24,92
449,128,,,57,97
450,79,,,27,91
451,120,,,23,92
452,113,,,21,97
453,101,,,111,92
454,101,,,,98
455,102,,,30,97
456,94,,,37,97
457,96,,,31,96
458,0,,,28,
459,91,,,23,98
460,95,,,21,98
461,97,,,21,98
462,72,,,20,98
463,,,,21,
464,,,,22,99
465,89,,,22,98
466,,,,27,99
467,74,,,36,97
468,199,,,34,97
469,96,,,,99
470,179,,,47,97
471,95,,,23,99
472,94,,146,30,98
473,96,,,24,99
474,,,,22,99
475,,,,34,98
476,94,,,27,99
477,92,,,22,99
478,96,,,18,99
479,94,,,24,99
480,100,,,22,
481,109,,,32,99
482,104,,,30,98
483,96,,,29,98
484,106,,,41,93
485,111,,,44,92
486,94,,,32,
487,102,,,38,98
488,95,,,41,98
489,98,,,39,98
490,106,,,26,92
491,101,,,37,91
492,93,,,24,97
493,96,,,21,98
494,96,,,35,96
495,104,,,22,98
496,,,,33,97
497,109,,,24,98
498,98,,,36,98
499,95,,,36,98
500,93,,,28,98
501,60,,,48,98
502,114,,,28,98
503,86,,,26,98
504,99,,,32,98
505,,,,32,99
506,,,,26,98
507,94,,,35,99
508,96,,,29,98
509,96,,,29,97
510,103,,,25,
511,,,,31,99
512,103,,,31,98
513,97,,,31,
514,96,,,30,99
515,94,,,19,98
516,93,,,23,99
517,94,,,29,99
518,105,,,26,97
519,100,,,25,99
520,94,,,33,98
521,99,,,28,99
522,100,,,27,99
523,95,,,26,99
524,106,,,25,99
525,96,,,28,99
526,96,,,19,99
527,99,,,25,99
528,105,,,34,97
529,109,,,13,97
530,102,,,37,97
531,102,,,24,98
532,103,,,31,96
533,99,,,31,99
534,86,,,44,98
535,101,,,33,98
536,186,,,34,99
537,155,,,28,98
538,155,,,31,99
539,178,,,29,98
540,216,,,66,99
541,57,,,52,98
542,75,,,97,97
543,74,,,121,98
544,82,,,63,
545,99,,,65,99
546,102,,,116,98
547,99,,,46,97
548,101,,,16,98
549,106,,,32,98
550,97,,,21,98
551,97,,,24,99
552,83,,,26,
553,94,,,45,99
554,63,,,51,99
555,96,,,41,99
556,70,,,32,99
557,124,,,62,99
558,154,,,81,99
559,126,,,18,
560,186,,,47,98
561,125,,,29,
562,109,,,15,99
563,68,,,14,99
564,202,,,33,98
565,111,,,65,98
566,171,,,50,98
567,128,,,43,97
568,126,,,52,97
569,70,,,77,96
570,213,,,21,97
571,198,,,26,97
572,187,,,34,
573,237,,,36,97
574,188,,,31,98
575,191,,,31,98
576,200,,,48,98
577,117,,,34,98
578,212,,,30,97
579,51,,,21,97
580,245,,,28,
581,118,,,72,97
582,189,,,43,
583,123,,,45,97
584,149,,,33,95
585,108,,,82,96
586,178,,,25,96
587,163,,,48,95
588,166,,,80,96
589,110,,,52,95
590,111,,,64,94
591,104,,,,94
592,108,,,,96
593,106,,,,95
594,107,,,64,90
595,107,,,64,92
596,109,,,,95
597,94,,,,96
598,97,,,,97
599,99,,,,97
600,104,,,,97
601,96,,,,97
602,101,,,64,97
603,100,,,,98
604,95,,,,97
605,100,,,,97
606,99,,,,98
607,97,,,,97
608,100,,,,96
609,97,,,,97
610,100,,,,98
611,138,,,37,97
612,108,,,16,96
613,108,,,23,96
614,108,,,,96
